,variable,values
0,hyper_x0,"[-1.6393610801920486, -0.8216508836272342, -0.4516897303220644, -0.17362543851777082, 0.09923095688605033, 0.4161370846276638, 0.8211841604353239, 1.3486261022730668, 1.9492606431254016, 2.417342485792683, 2.58035797269384, 2.482433755120188, 2.2419334247359672, 1.9115927499045158, 1.5032360069783852, 1.009036054499295, 0.4308504123637036, -0.1517028947091159, -0.5851539712870503, -0.8039348411293525, -0.8780338832981478, -0.8834916543642584, -0.8599999267683786, -0.8222229976770316, -0.7754001548454108, -0.7198942154611562, -0.6561199036917824, -0.5838947698963977, -0.5028597597520649, -0.4127306779396497, -0.31252951722358935, -0.2008714713607342, -0.07156745361628758, 0.08572542877740645, 0.28348382809687483, 0.5410296173835669, 0.882185510442443, 1.326498753945379, 1.8330723855284046, 2.2512956999274714, 2.4372449751684413, 2.38915405163616, 2.1905145260017758, 1.8940163299143353, 1.5147605047487307, 1.046178870481727, 0.4911620416295698, -0.0809347699864712, -0.5281236602938643, -0.7715524570825361, -0.8645225408811529, -0.88126555286631, -0.8639154059992984, -0.8303974057505709, -0.7866590857672241, -0.73497737024866, -0.6756718041833844, -0.6098025289670193, -0.5374019615583226, -0.4583607315346715, -0.3718908420094241, -0.27670932891185485, -0.16967720122933427, -0.043638297451129404, 0.1109559958777954, 0.3072770008439119, 0.5639177528261502, 0.9029680697219669, 1.3424249617891308, 1.838230322222162, 2.242326964554532, 2.4203180494553282, 2.366892985301041, 2.16408278328082, 1.8646394883976043, 1.4801168298052918, 1.0040531936983326, 0.44170021434083273, -0.12763584839951103, -0.5622982555216891, -0.7938276084972674, -0.8807094582369629, -0.8958515286414489, -0.8793526804488825, -0.8473961680465926, -0.8064805361333927, -0.7580243582065573, -0.703667339615565, -0.6431935035355344, -0.5772244955172475, -0.5063993624455979, -0.4305308976430475, -0.348209115404013, -0.2560833930329123, -0.150506741239998, -0.026343199972844067, 0.12600622388527527, 0.32068967532206166, 0.5756533108253516, 0.9148113854319441, 1.349970585659787, 1.8386714867892804, 2.2341401914112873, 2.404065323312642, 2.3499216693757767, 2.1466823955189094, 1.8472731989294786, 1.462498713603934, 0.9843701051955892, 0.42074384838502205, -0.14443531506789742, -0.5749128811785352, -0.8019397085103187, -0.8869588337238, -0.9021565416551027, -0.886122030458722, -0.8551642099515743, -0.8156675856326141, -0.7690205263963867, -0.7169455058746788, -0.6595635074852408, -0.5971365682717342, -0.530651661390954, -0.4598839759936227, -0.3838745905952717, -0.300053564428544, -0.20493384916141014, -0.0943899354012111, 0.0390712239883359, 0.2066255228396543, 0.4228376012896797, 0.708223888643321, 1.0835995115340773, 1.5481353153914557, 2.015842334263769, 2.325884651108853, 2.397265529900668, 2.2730199081953204, 2.026721742018964, 1.6910754682915885, 1.2678268441627814, 0.7508231676633009, 0.1709906698075584, -0.35475752621949413, -0.6968712916591433, -0.8542401868309895, -0.9031504336742409, -0.9023836348875313, -0.8796387748308677, -0.8455748390177475, -0.8038662550468869, -0.7563445636703817, -0.7036155615577034, -0.6458015563274346, -0.5842217004442884, -0.5188683061284172, -0.4492769702102182, -0.3741284863963779, -0.2912354133020267, -0.19754744074525746, -0.08760079485358052, 0.046604283897602315, 0.21505537998082358, 0.43213116738800167, 0.7178513017666951, 1.0944163021259932, 1.5577414006073005, 2.0209791896250353, 2.3234174902081968, 2.389833460232155, 2.263150199082629, 2.015235558982082, 1.6783660929736437, 1.253171117906486, 0.7347241576600695, 0.15513247575169078, -0.3661937757118122, -0.7034166791449012, -0.8573083987957231, -0.9048001432601751, -0.9037195701185995, -0.8809428905385243, -0.8470435205039699, -0.8058156399067994, -0.7586123537685961, -0.7067293734445267, -0.6499771098452732, -0.5893725157026867, -0.5253478903052883, -0.4574556816308786, -0.38442496192439846, -0.3039198216239535, -0.21304770691109218, -0.10700225125599833, 0.02158380566608198, 0.18242246443687324, 0.38872025675931654, 0.6593170305156208, 1.0167433240054207, 1.4654029069733556, 1.9389928687111264, 2.280941648275957, 2.39121511020109, 2.2954272370207875, 2.0666067463281736, 1.7457852884177565, 1.3378210046815218, 0.8364379196885517, 0.26215422386590526, -0.2818072626783983, -0.6582378471576457, -0.8401441805639552, -0.9020671957747745, -0.9073906700799377, -0.8878171464762642, -0.8558045965739508, -0.8160881427521575, -0.7704262220759435, -0.7198849122780312, -0.6644576852071812, -0.6054407493659523, -0.5430113043910438, -0.47680979418117675, -0.405943524773933, -0.32861665911358506, -0.24221788807170014, -0.14214526530161814, -0.021656057901653383, 0.1274805832842952, 0.3169723781582469, 0.5640833712868201, 0.8906703560707314, 1.3113336520710386, 1.790090753362592, 2.1916581561986272, 2.379040400426284, 2.3428403658019312, 2.150401797416182, 1.8580213805841481, 1.479018338379367, 1.008295240080578, 0.4512432577541036, -0.11886455778476268, -0.5592965999607193, -0.7984460955849215, -0.8909748681443881, -0.9099666681985296, -0.8966464256737452, -0.8680238932364546, -0.83065584522845, -0.7871022531525003, -0.7382726258496761, -0.6845706628995457, -0.6273131204072561, -0.5664056290318429, -0.5018143210343303, -0.4331925143547395, -0.35921093596380416, -0.2774368794134339, -0.1835348266550958, -0.0716499415946453, 0.0646456334198004, 0.23578576782204252, 0.45719208903983294, 0.7490567249136884, 1.1316066163183687, 1.5971459720931973, 2.050198925643689, 2.3317996965750014, 2.3796632163604543, 2.2408427499531562, 1.984866380128612, 1.6405440555816777, 1.2074931160624256, 0.6814239740889091, 0.10154161699428332, -0.4068564156335784, -0.7255245726724698, -0.8666944402028925, -0.9083034445727778, -0.9049704209502248, -0.8812099329273743, -0.8471407157073657, -0.8058917427854664, -0.7593804946224602, -0.7076046553800278, -0.6519627043627809, -0.5927802114228902, -0.5299492873956875, -0.4634356889851646, -0.39224788547289824, -0.3145623706692117, -0.22682442892708138, -0.12373518452954531, 0.0004789786364616522, 0.15434093199535692, 0.35105240095511586, 0.6085407295623775, 0.9484536902210812, 1.3817128089697812, 1.8588939120689472, 2.233684806888397, 2.3850342905174196, 2.3204551410092034, 2.1106834449632386, 1.8048575106854796, 1.4125418721892697, 0.9273938645577049, 0.36131751620263075, -0.19839745760677407, -0.6087396348395032, -0.8205221365956816, -0.8979178294784597, -0.9102165522230101, -0.8938615491411307, -0.8636666768633752, -0.8256302907936177, -0.7811823760235117, -0.7318888808847104, -0.6782242714946827, -0.6203888642413856, -0.5593756433420436, -0.4950101046770613, -0.426505577552317, -0.3521187010943981, -0.26929056487938186, -0.17441249885857557, -0.06170764444920962, 0.07680167139857319, 0.25147201106223543, 0.47747514529937674, 0.7751045247902345, 1.1653078537441728, 1.6336909719688018, 2.0784731447740517, 2.3423641302766627, 2.3735983311065456, 2.2238646724748103, 1.9607971602749372, 1.609987805446367, 1.1697864592840768, 0.637323849028884, 0.05761823252042177, -0.4389324200521987, -0.7417824149035678, -0.8727725595494314, -0.9094997841187631, -0.9040320174663636, -0.8794663705149856, -0.8446332829821281, -0.8033214596970742, -0.7562305488212229, -0.7044160644748483, -0.6488489358484804, -0.589387569502734, -0.526562326878009, -0.46019042750118727, -0.38921757142522945, -0.3112970912550106, -0.2227285971725297, -0.11931985794215647, 0.005267360923970621, 0.16046508649325225, 0.35900955493420816, 0.6188103050066245, 0.9614659843108784, 1.397296532140102, 1.8737246108323045, 2.2422587929051043, 2.3854671228662823, 2.3147637059726516, 2.1011785128338007, 1.79240305507795, 1.39697843297815, 0.908552952989343, 0.34070363988909436, -0.21615144309598858, -0.6195377823250029, -0.8253336445114321, -0.899458198582612, -0.9102973516581809, -0.8932731334920899, -0.8630308346811555, -0.8244836973437403, -0.7803555681070519, -0.7308198216370603, -0.6769140958437442, -0.6195354234819923, -0.5585133014360382, -0.4940021301414885, -0.4254349703582441, -0.35142628044641544, -0.2691301800661928, -0.17397896440383445, -0.060772281873151396, 0.07754884632850956, 0.2521045668700252, 0.4780927626191529, 0.7764680984742814, 1.1658754185969764, 1.63455849735023, 2.078958009921146, 2.3427578385707486, 2.37339373069997, 2.223213625875318, 1.9598808610022205, 1.6087216829681088, 1.1682106914799717, 0.6353621361438379, 0.05559413520044487, -0.4405027976030116, -0.7428272628454282, -0.8734116971941106, -0.9099409538082742, -0.9044121616367646, -0.8796545994002934, -0.8451106445662195, -0.8034886130480786, -0.7568128266199179, -0.7050107828859394, -0.6492869021007317, -0.5902048691993674, -0.5275804034786978, -0.46124345115446835, -0.3901562189079425, -0.3125052365068839, -0.22482080683641303, -0.12175539849168804, 0.0028418977704803006, 0.15716204037814469, 0.35432700776967246, 0.6125228142814999, 0.9533624580620016, 1.3872988309999266, 1.8638243203924287, 2.2361513648067066, 2.3846371826903385, 2.3179433989950784, 2.106854738462274, 1.7999927926126857, 1.4066134392931973, 0.9202386871279588, 0.35356167886834955, -0.20505463204939334, -0.6129201617367622, -0.8226242492244842, -0.8987690809746169, -0.9104887089268757, -0.8938783814411881, -0.8638574726357561, -0.8254675884384857, -0.7814716722948689, -0.7320653260573293, -0.6782693060030753, -0.6210001920814938, -0.5600875418955207, -0.4956980223767069, -0.4272874478244519, -0.3534890896890522, -0.27148875539295814, -0.17676378649638608, -0.06416471415360667, 0.0733130251622357, 0.246679136043285, 0.47085928606800775, 0.7670858189570382, 1.1537255704998461, 1.6210464848367574, 2.068336325027242, 2.338105998486663, 2.3749500860821326, 2.2289293272834043, 1.9682072635749768, 1.6195409296745233, 1.1817454707970305, 0.6513818335025137, 0.07160297598487309, -0.4288104134908664, -0.7368062251356722, -0.8711745853596845, -0.9095001927730832, -0.9047672175813268, -0.8804041619972788, -0.846016160489174, -0.8046342074136741, -0.7580546149670301, -0.7062859156869687, -0.6507851766133163, -0.5917712553529169, -0.5291729215670237, -0.4629629407769315, -0.3921277711514646, -0.3147876446102861, -0.22734228826965908, -0.12460901172830693, -0.0009355006719626857, 0.15236549218541512, 0.3483524076028932, 0.6046598099220823, 0.9428976094908141, 1.3745271468167242, 1.8514206199179857, 2.228598272127537, 2.3834274758906675, 2.3217765835686643, 2.1137768023094905, 1.8093668335371045, 1.4184621992942483, 0.9347222200656365, 0.36958836532240913, -0.1911553894320535, -0.6044305077567886, -0.8188764930807705, -0.8976557270553945, -0.9105256804831762, -0.8945411606433316, -0.8647114054985869, -0.8265708650993157, -0.7825966953970558, -0.7334897147136648, -0.679679520663516, -0.6224871711525404, -0.5617805647355555, -0.4974938547787883, -0.4291749574912723, -0.3554323034374639, -0.2737411197806515, -0.17971575926743527, -0.06752387531802936, 0.06933856439890856, 0.24140395597026126, 0.4641070644873684, 0.7576126635294811, 1.1418669367923382, 1.6078648270421794, 2.057901209454338, 2.333961960686952, 2.3767040700317863, 2.234605237862002, 1.976443719036886, 1.6301345378475938, 1.1947845076540813, 0.6667289964782491, 0.08688706249920108, -0.4176216308413703, -0.731161224421671, -0.8691392639133405, -0.9091924434568223, -0.905202589728065, -0.8813566263670477, -0.8469955036505155, -0.8060478137073402, -0.7593183549142501, -0.7078246589495573, -0.6525739442101562, -0.5934279402684809, -0.5309438432286177, -0.4649810683127739, -0.3945234789406903, -0.3173019540534002, -0.22974941770521742, -0.1277760508011686, -0.005164212894756881, 0.14725384224723984, 0.34183998838438556, 0.596023480506748, 0.9313760242231961, 1.3605482276018765, 1.8377144933337397, 2.220213757681259, 2.3821136024548903, 2.326043168704701, 2.1214276965375385, 1.8195809195492034, 1.4312990147270641, 0.9503774019410597]"
1,hyper_x1,"[-1.647431800915233, -2.0441252915100696, -1.9416075421313057, -1.7100564244763972, -1.4545799717318717, -1.2552543018085418, -1.225524610457284, -1.5791541193758076, -2.652162296716993, -4.62115714613419, -7.123720715991365, -9.434757647606459, -11.114405386300378, -12.025527932975868, -12.183542144324532, -11.690333184784697, -10.74501851872441, -9.651034484329543, -8.71706783075027, -8.035456982413523, -7.519206177637335, -7.080460074051483, -6.674071642178964, -6.281118684523739, -5.891992938375838, -5.502525999467705, -5.109179010291706, -4.710735624064903, -4.308023877881478, -3.9032934924391625, -3.5004022808412247, -3.1027800814833504, -2.719886483096957, -2.3683892296143165, -2.0651366492893883, -1.85242390781503, -1.8238307716648792, -2.1384499846711646, -3.0430475521827027, -4.685971562826913, -6.81280097078964, -8.877599112076197, -10.450148142149379, -11.35757046051464, -11.575421431641763, -11.170835526427197, -10.30596043048956, -9.262739808405518, -8.343711330805933, -7.6689216343320465, -7.169921521066662, -6.758215038364698, -6.383756994188308, -6.023120174495186, -5.666209449277774, -5.307360425901917, -4.944281438660186, -4.575169690722193, -4.201128169450672, -3.8242528181579374, -3.447958801424592, -3.075258923525938, -2.710354231849359, -2.362302939185025, -2.0468512013322417, -1.777729246307712, -1.6006090271920885, -1.6110664363323206, -1.9647199390319514, -2.903082082542147, -4.556534182794847, -6.658759126286476, -8.69181878465377, -10.229734753860745, -11.104124655208393, -11.295120923278418, -10.870975313445655, -10.001353794282508, -8.980821555203457, -8.101594710500958, -7.467528545453974, -7.002804027865349, -6.619914325494698, -6.270815176273857, -5.934321299851054, -5.599923334847486, -5.263459462949354, -4.921389236214153, -4.573774592712071, -4.22087167043116, -3.8638782447832907, -3.50530912559965, -3.148423773487641, -2.798368157511019, -2.458387623371703, -2.1321389560669886, -1.8338086342616062, -1.5885445240362048, -1.4390376018600521, -1.4715641127089216, -1.8492033273196014, -2.8042534711498717, -4.458051590289196, -6.546745851142009, -8.551740498359166, -10.066802537308694, -10.921514754040167, -11.10237648259722, -10.674911282444944, -9.809717468899192, -8.80459947572428, -7.9461587514530745, -7.333729271401678, -6.887505062242794, -6.520648271899184, -6.186661411172737, -5.8641676028352645, -5.543077936494297, -5.219558071594212, -4.8902576290285324, -4.555014221272778, -4.214614876293663, -3.869784666059013, -3.5230232454906134, -3.1770497922421086, -2.835594463438353, -2.502383321168332, -2.179708533866153, -1.8767678272861816, -1.6107902163687287, -1.4108509339342514, -1.3337533465478812, -1.4947788974280056, -2.088296350508442, -3.3323809327379807, -5.207135029326975, -7.315151178751155, -9.145472396486648, -10.393843073503527, -10.965668012329473, -10.881318846827218, -10.248833344238516, -9.291986220099664, -8.329167885247095, -7.587634712625547, -7.067310811255248, -6.67230635062235, -6.332260213659973, -6.0131533557124675, -5.700123752738337, -5.386469976425139, -5.068295240674291, -4.7442140646441535, -4.414584489159015, -4.079295984346954, -3.7405375805657055, -3.400824058681124, -3.0629705217944254, -2.729707592105044, -2.4031770932406418, -2.0887850367495653, -1.7958490336937205, -1.5388790523973608, -1.34745674245386, -1.2824588190755535, -1.4573860908419918, -2.0663315268375637, -3.324741368838219, -5.206661362730033, -7.302632221314268, -9.114147715482684, -10.343640975898973, -10.899192574865543, -10.801441667626085, -10.162037652711149, -9.206200728382946, -8.253000620998902, -7.523184759042071, -7.012657697825296, -6.6248443945852635, -6.290458589270447, -5.9764475763019425, -5.668081053845528, -5.358637100463043, -5.044921857546326, -4.724818563818782, -4.399175591276469, -4.068269750514581, -3.7336889877971355, -3.397983033381931, -3.06379039810568, -2.7341593573371497, -2.410952685760547, -2.0983639337872577, -1.8047759479564627, -1.54392408748181, -1.341131959175037, -1.2500179245163983, -1.371172526472068, -1.8829974849466893, -3.008898868678621, -4.791223918380004, -6.883052869752358, -8.775797083434425, -10.12486291444355, -10.807364578115802, -10.827154790435827, -10.277718909037803, -9.36032790088986, -8.386689536843985, -7.612076568714837, -7.072273930442976, -6.671365516647535, -6.333422360499779, -6.019885492363158, -5.7139420948767325, -5.40774362843734, -5.0975135193392695, -4.781255100522767, -4.459383617284606, -4.131700108008181, -3.800078362245845, -3.4669686941610762, -3.134786089539076, -2.8060290459375725, -2.482618484674289, -2.1686648023413113, -1.8711575703598666, -1.600301737751895, -1.376317243327139, -1.2437364456955462, -1.2828282130658213, -1.645020495444613, -2.551839720427798, -4.138783772891097, -6.18341263255416, -8.188255110717003, -9.735063954568265, -10.636822196687438, -10.866249135030557, -10.486480536221752, -9.65972259428046, -8.670215772683253, -7.818641013503166, -7.2125944646724145, -6.778545972906572, -6.427645562432875, -6.110348421059185, -5.8047171493437295, -5.500733496702612, -5.193476150602858, -4.880826958373934, -4.562352159372415, -4.2375563102417395, -3.9085209937444882, -3.577291040944663, -3.245972675854161, -2.9167674805707344, -2.5920383215346128, -2.2756019377050642, -1.973569726753196, -1.6908439365664956, -1.44473466442772, -1.2704773438325205, -1.2283701880780842, -1.4384056383227657, -2.0997990177366987, -3.415818230511583, -5.328028591771355, -7.409068740590211, -9.173581978753708, -10.343731118074201, -10.839791208870233, -10.69087118423582, -10.016318729018147, -9.052869364108213, -8.120599030581216, -7.419350000074587, -6.930182460258711, -6.555252784904788, -6.229245155225414, -5.921771839110315, -5.618666735559842, -5.314151997585635, -5.0045378027178, -4.689453232916873, -4.367905289494492, -4.041181948820118, -3.711481074430579, -3.3806986279182074, -3.051172619331492, -2.724951023390063, -2.4052346714523978, -2.097066213838537, -1.8050697745938178, -1.5404056066524379, -1.3298383505993552, -1.2186930878512068, -1.296884984149167, -1.727616499680182, -2.7345540582466645, -4.4135366285909425, -6.4835940081630525, -8.438648587963367, -9.89361505899244, -10.693053484737831, -10.824137316750466, -10.363667292221095, -9.492711482917288, -8.50913035985239, -7.69624373009906, -7.124623715964195, -6.709767701884948, -6.3679271141863945, -6.055090858040628, -5.751802616455561, -5.44875883704203, -5.142513305798816, -4.830333357701364, -4.511906511182526, -4.188242603560699, -3.8600550477893707, -3.5296883173891054, -3.199584296756834, -2.8723657474630935, -2.5503583916861916, -2.23596730723446, -1.934846414984241, -1.6564627343183858, -1.4171686672071822, -1.251323199995564, -1.2244889468980868, -1.4624267146715417, -2.168053608071394, -3.53652301768292, -5.477971400493581, -7.548675661563113, -9.273490380518414, -10.39254825351891, -10.837131157166642, -10.642963500768555, -9.936780885904238, -8.965419355388756, -8.047661615967778, -7.367054634514282, -6.890792544393137, -6.52240411270552, -6.199573441737805, -5.8935119443678055, -5.5915896554803215, -5.287285168786712, -4.978455618389441, -4.663545242155379, -4.3421928334448205, -4.016288452803747, -3.6872027319890996, -3.3570544176358847, -3.02814338442899, -2.7031506904319196, -2.3854621556212585, -2.077729470463846, -1.7864197240798407, -1.5253018336379558, -1.3181486905785191, -1.2119281411479648, -1.2994185299989194, -1.7464094141821505, -2.775282293756538, -4.473668885887769, -6.5476538330426415, -8.490119245853053, -9.92394965436104, -10.700130675852552, -10.809040833682632, -10.331210079481608, -9.451211573856598, -8.470578689180352, -7.6666522436364914, -7.102968365560309, -6.69262290322455, -6.35309349508761, -6.041552718776983, -5.738730627791917, -5.436636130060853, -5.130310618578985, -4.8187469285088245, -4.50096424782713, -4.177181507263063, -3.8496122167982185, -3.520034319056662, -3.1906926087345564, -2.863634515253558, -2.541598099650353, -2.228652815547082, -1.9289919499853472, -1.6501175837348243, -1.4114718047076393, -1.2466853539682103, -1.2206270740793426, -1.4595671959489505, -2.167391679669401, -3.537190837809999, -5.478509785966111, -7.549337961998374, -9.273189054584352, -10.390473647858723, -10.833422236864752, -10.637777095264195, -9.930592254217258, -8.959158517852618, -8.042622778344604, -7.362950804283654, -6.887614046482627, -6.51990217333519, -6.197586865175963, -5.89219319915074, -5.590359864050591, -5.286867493878498, -4.977987997486539, -4.663539838802728, -4.342850656773561, -4.016952657848644, -3.6881751103815814, -3.358510258511758, -3.0303078791585096, -2.7054621786505137, -2.3870143242207478, -2.080000433943173, -1.7901944003775225, -1.526972387126301, -1.3177005488779745, -1.209677968313491, -1.292040425491201, -1.729033110012501, -2.7442747493312405, -4.429627428293104, -6.500211486885001, -8.45019590649492, -9.89727835507127, -10.688236357613736, -10.811514525829729, -10.345034833820382, -9.471245612311451, -8.489534005247933, -7.680125871744885, -7.111985632374881, -6.699492804887355, -6.359167607967553, -6.0474044315166715, -5.744632737445871, -5.442707926743819, -5.1366124419756645, -4.825292102295493, -4.50776483288594, -4.184205923302059, -3.8568204227222966, -3.5273760005019152, -3.198106883803601, -2.8710680896519256, -2.5489820845269944, -2.2358677424662203, -1.935841757163978, -1.6563173369266688, -1.4163550590118517, -1.2490107070891074, -1.2177142237479543, -1.447116985418971, -2.1384180048255126, -3.488667829851107, -5.419610375986793, -7.492918928166606, -9.230382521465343, -10.366267936194932, -10.82778476277391, -10.64878252416077, -9.953387129589425, -8.985154960471107, -8.0634991405972, -7.377057205638143, -6.897404518296849, -6.527743216795027, -6.204680043665782, -5.899056197282519, -5.597324896043876, -5.293875062566461, -4.985234006054701, -4.671092079114439, -4.350448893666333, -4.024761772263898, -3.696170481142824, -3.3665515844715617, -3.038199541866345, -2.7132023419902103, -2.3947596659008616, -2.087649010712021, -1.7962886181738074, -1.5326767781971937, -1.3225436325924262, -1.2104549876193573, -1.2858756395035043, -1.7107609247909084, -2.7075691600546996, -4.376726696402913, -6.442947304528274, -8.401811915397074, -9.865201600415215, -10.674368935496398, -10.815118958071984, -10.363025526819833, -9.496798505909343, -8.513747794570532, -7.697779277382131, -7.124054142140952, -6.708609757541062, -6.367079764633555, -6.054765573698786, -5.752021369827939, -5.4500992540881015, -5.144313621665793, -4.832978492571627, -4.51580407396923, -4.192427192012987, -3.865028073738307, -3.535662460621357, -3.206465229499821, -2.8795429089561235, -2.557235806438656, -2.243323535430623, -1.9437486383805649, -1.663791217753407, -1.421254806963113, -1.2513419083732975, -1.2154947300631218, -1.4351406141319942, -2.110990141985554, -3.442442827947114, -5.362674013507537, -7.438989213287506, -9.190160422088978, -10.343897496254169, -10.823665899246564, -10.660789580839305, -9.976711231322716, -9.011714936385538, -8.085113927371928, -7.392125582366928, -6.908340804468965, -6.536818635963044, -6.213061994523282, -5.90706157177396, -5.6056024785145, -5.301985601261384, -4.993903499205857, -4.679795849374079, -4.359204235679299, -4.033977142914029, -3.7054469757401014, -3.3757072715619865, -3.047074581481655, -2.722198539108017, -2.404339825490518, -2.0960514184325465, -1.8036018007309849, -1.5399848714865207, -1.327747356834365, -1.2115772225641965, -1.2794609839372377, -1.690973413665595, -2.6676698358012256, -4.318693846815779, -6.379980869154869, -8.348716098324472, -9.830076547875372, -10.659458246965754, -10.819331725616076, -10.382878133799762]"
